height,distance,n,avg_correlation,max_correlation,elapsed_time,valid_samples,peo_3rd_correlation,keo_3rd_correlation
0.15,2600,9,0.7341423708634478,0.7399173214595642,1.30458664894104,70,0.7399173214595642,0.7283674202673315
0.15,2700,9,0.7204497520886078,0.7218450779806653,1.3402979373931885,70,0.7218450779806653,0.7190544261965504
0.15,2800,9,0.720999873697058,0.7471826388799382,1.2898433208465576,70,0.7471826388799382,0.6948171085141777
0.15,2900,9,0.6989240361881394,0.7175286417204981,1.3107962608337402,70,0.7175286417204981,0.6803194306557806
0.15,3000,9,0.67710300222586,0.7084436332845292,1.2958061695098877,70,0.7084436332845292,0.6457623711671908
0.15,3100,9,0.6527228876740613,0.6921370157359702,1.2948415279388428,70,0.6921370157359702,0.6133087596121524
0.2,2000,3,0.558424016127927,0.6171250219101756,1.1693551540374756,70,0.4997230103456785,0.6171250219101756
0.2,2100,3,0.6112250694209249,0.6686961689881625,1.1747798919677734,70,0.5537539698536873,0.6686961689881625
0.2,2200,3,0.6242854912446282,0.6876783118179809,1.1881816387176514,70,0.5608926706712755,0.6876783118179809
0.2,2300,3,0.647159439577502,0.7236053197674646,1.1655471324920654,70,0.5707135593875394,0.7236053197674646
0.2,2400,3,0.6901086087447361,0.7329338076521443,1.1622538566589355,70,0.647283409837328,0.7329338076521443
0.2,2500,3,0.7071183142381641,0.7329531134843004,1.1907424926757812,70,0.6812835149920277,0.7329531134843004
0.2,2600,3,0.7224933613921292,0.7565042167247452,1.1982603073120117,70,0.6884825060595132,0.7565042167247452
0.2,2700,3,0.7151768478172204,0.7693625754840966,1.210003137588501,70,0.6609911201503441,0.7693625754840966
0.2,2800,3,0.6995945993907133,0.7285969124571631,1.1807684898376465,70,0.6705922863242636,0.7285969124571631
0.2,2900,3,0.6627104195113594,0.6944722986598783,1.1777267456054688,70,0.6309485403628406,0.6944722986598783
0.2,3000,3,0.6510532788537061,0.6748720027889713,1.1751396656036377,70,0.6272345549184409,0.6748720027889713
0.2,3100,3,0.6258616351599438,0.6324136109759274,1.1628530025482178,70,0.6193096593439601,0.6324136109759274
0.2,2000,4,0.5884751726244376,0.636781926119857,1.1873488426208496,70,0.5401684191290183,0.636781926119857
0.2,2100,4,0.6268405219709692,0.6763595765376363,1.2161436080932617,70,0.577321467404302,0.6763595765376363
0.2,2200,4,0.6376148411987144,0.6999746133718715,1.1873722076416016,70,0.5752550690255572,0.6999746133718715
0.2,2300,4,0.6665372588338476,0.7284203085643262,1.2009303569793701,70,0.604654209103369,0.7284203085643262
0.2,2400,4,0.7024151378432097,0.7409999643603118,1.1901159286499023,70,0.6638303113261077,0.7409999643603118
0.2,2500,4,0.7186841563011153,0.7400266773328059,1.1932134628295898,70,0.6973416352694245,0.7400266773328059
0.2,2600,4,0.720826195267906,0.7476652404163462,1.1949717998504639,70,0.6939871501194658,0.7476652404163462
0.2,2700,4,0.7114527981985821,0.7499802750947885,1.1876440048217773,70,0.6729253213023756,0.7499802750947885
0.2,2800,4,0.6948561724347174,0.702152227741555,1.1897680759429932,70,0.6875601171278799,0.702152227741555
0.2,2900,4,0.6608108941031425,0.6748177483530108,1.2020902633666992,70,0.6468040398532744,0.6748177483530108
0.2,3000,4,0.6513255792293341,0.6615139917102552,1.2036542892456055,70,0.641137166748413,0.6615139917102552
0.2,3100,4,0.6267256928538963,0.6326818229443819,1.2016088962554932,70,0.6326818229443819,0.6207695627634108
0.2,2000,5,0.5999103777139526,0.6268588279406928,1.2027044296264648,70,0.5729619274872124,0.6268588279406928
0.2,2100,5,0.6425780483721935,0.6710509985944627,1.2033278942108154,70,0.6141050981499243,0.6710509985944627
0.2,2200,5,0.6520748560657462,0.6959052139287134,1.1995515823364258,70,0.608244498202779,0.6959052139287134
0.2,2300,5,0.6735738053714834,0.7200977054494784,1.2655413150787354,70,0.6270499052934884,0.7200977054494784
0.2,2400,5,0.7061437454201361,0.7416910391104419,1.1991002559661865,70,0.6705964517298304,0.7416910391104419
0.2,2500,5,0.7164559004752883,0.7396739175866653,1.2294394969940186,70,0.6932378833639112,0.7396739175866653
0.2,2600,5,0.7222613179454037,0.7494664946586351,1.265030860900879,70,0.6950561412321723,0.7494664946586351
0.2,2700,5,0.7114651816918816,0.7509765824724666,1.1995840072631836,70,0.6719537809112965,0.7509765824724666
